,name,longitude,latitude,belonging
462,毛纺城市场(清河店),116.335797,40.036117,257
463,民生商场,116.34072,39.731519,130
464,水晶港生活广场,116.337179,39.757598,130
466,永利国际中心,116.444682,39.934667,229
467,永安路百货商场,116.39167,39.88636,311
468,永旺国际商城,116.290021,40.09596,135
469,永旺梦乐城(北京丰台店),116.29207,39.817953,290
470,永湖商业广场,116.64271,39.893092,120
471,永盛嘉禾购物中心,116.562299,40.148246,3
472,汇京双子座大厦,116.448639,39.90775,222
473,汇嘉商场,116.2679432,39.545957,92
474,汉光百货,116.375191,39.909408,201
475,江隆源商场,116.632859,40.314488,172
476,沁春汇商业广场,116.334777,40.05788,123
477,泛悦坊(西城店),116.342952,39.87685,205
478,泰禾新天地,116.219714,39.904333,319
479,泰禾里,116.321447,39.713215,130
480,活力东方购物广场,116.522141,39.940526,325
481,润福霖购物中心(采育店),116.241355,39.835044,290
482,淘汇新天(王府井步行街店),116.410627,39.91597,323
483,清河万象汇,116.334435,40.030181,257
484,清河百货商场,116.294814,40.014954,266
485,温榆广场,116.561933,40.049882,27
486,港龙商业中心(回龙观西大街店),116.331289,40.078283,123
487,滕鸿源综合商场,116.639288,39.660378,90
488,潘家园旧货市场,116.458263,39.875426,304
489,潞河商场,116.657916,39.900367,120
490,潮驿178,116.416,40.040231,235
491,澳门中心,116.413327,39.914866,213
492,瀛海环宇坊,116.448613,39.758038,151
493,瀛海购物广场,116.458434,39.759777,151
494,燕丰商场,116.439068,39.96008,219
495,燕京商场,116.652034,40.134598,171
496,燕莎友谊商城,116.29095,39.958881,273
497,燕莎友谊商城(亮马桥店),116.463019,39.948858,233
498,燕莎奥特莱斯购物中心,116.487321,39.877498,228
499,燕赛奥特莱斯购物中心(密云店),116.84502,40.374349,327
500,燕隆汇生活广场,116.062204,39.711134,142
502,爱悦城,116.141573,39.729923,131
503,爱维家电五金商场,116.232014,40.219828,174
504,玉泉商业生活中心,116.252251,39.976021,274
505,王府中環,116.40956,39.912438,323
506,王府井U生活中心(右安门店),116.364679,39.872068,307
507,王府井喜悦,116.411815,39.916227,324
508,王府井国际品牌中心,116.407709,39.912474,323
509,王府井奥莱·香江小镇,116.505252,40.035509,253
510,王府井银泰in88,116.411823,39.915746,324
511,王府井食品商场,116.411515,39.911661,213
512,玖安广场,116.408915,39.952121,217
513,玫瑰城购物中心,116.337245,39.752756,130
514,环球新意百货,115.975966,40.461638,164
515,瑞兴隆商业广场,116.510956,39.844476,302
516,瑞嘉商场,116.846384,40.374859,327
517,瑞城商业中心,116.467346,39.95025,233
518,瑞程奥特莱斯,116.368938,39.83314,294
519,甘家口商场,116.333684,39.927127,197
520,甘家口商场(三里河店),116.328527,39.927893,197
521,百佳商厦,115.977012,40.46422,164
522,百分百购物中心(漷马路旧线店),116.553645,39.762442,86
523,百品尚购物中心(康庄店),115.902105,40.373121,55
524,百姓大润发购物广场,116.639729,39.659495,90
525,百尚生活广场,116.544945,39.753013,86
526,百盛购物中心,116.358085,39.908134,202
527,百联清城国际购物中心,116.3319713,39.7394549,130
528,百联清城购物中心(兴华大街店),116.331587,39.738727,130
529,百荣世贸商城,116.398186,39.861055,310
530,百荣二期商城,116.406327,39.856633,301
531,盛景国际广场,116.202026,39.908067,281
532,碧泉商场,116.161739,39.926456,280
534,秀水街,116.438849,39.910584,222
535,第5大道精品休闲购物广场,116.406931,40.003217,256
536,管庄购物城,116.590592,39.912446,243
537,米兰·life生活广场,116.312643,39.879775,289
538,米拉广场,116.545498,39.759978,86
539,精品购物中心,116.330426,40.057692,123
540,繁星西单商场连锁店,116.42705,39.805102,128
541,维吉奥广场(弯里中心店),116.501323,39.86723,303
542,维海家电城,116.374398,40.097529,181
543,绿地缤纷城(大兴店),116.33415,39.764158,130
544,绿地缤纷荟(采育店),116.62702,39.655818,90
545,绿色缤纷中央广场,116.334122,39.765893,130
546,美达大厦地下商场,116.570811,39.80264,84
547,翠微百货,116.2649652,39.8886671,288
548,老佛爷百货,116.374891,39.914132,201
549,老番街批发市场,116.4413285,39.9210935,221
550,老白广路商场,116.358659,39.883617,308
551,聚乐汇,116.640471,40.129271,171
552,肥桃生活广场(主语国际店),116.324575,39.934152,196
553,胜利商场,116.654441,40.140299,171
554,胜达商业(青年路店),116.516878,39.932169,325
555,航天万源广场,116.42355,39.802579,128
556,船洋国际,116.65672,39.907164,120
557,良乡商城,116.142365,39.734862,131
558,艺苑商场,116.595822,39.978904,247
559,花乡奥莱村,116.324004,39.827593,290
560,花园路百货商场,116.365685,39.978673,258
561,芳圆里ID MALL,116.48788,39.889111,228
562,苏宁生活广场,116.494646,39.91588,226
563,苏宁百货(通州店),116.225676,39.906626,284
564,苏荷时代商业广场,116.644016,39.891819,120
565,荟聚购物中心,116.326305,39.789675,127
566,荣和商业中心,116.562375,40.053215,27
567,荣康绿地购物中心直营店(大兴绿地缤纷城西岸店),116.307407,39.908761,206
568,荣祥广场,116.5473055,40.0629919,27
569,菜市口百货,116.359372,39.888905,204
570,蓝岛大厦,116.4492474,39.9220948,225
571,蓝岛大厦(朝阳店),116.449406,39.922391,225
572,蓝腾购物中心,115.9611,39.726478,140
573,蓝色港湾,116.4744001,39.9430504,233
574,虎坊路百货商场,116.384727,39.887693,311
575,融科天地(融科资讯中心),116.326989,39.983864,264
576,西三旗万象汇,116.366266,40.061826,257
577,西关购物广场,116.157626,40.526395,160
578,西北旺万象汇,116.259961,40.04904,267
579,西单商业街,116.374567,39.907812,201
580,西单商场,116.37432,39.912225,201
581,西单商场仓储商场,116.430304,39.804241,128
582,西单商场华联超市配送中心,116.513815,39.821655,85
583,西单商场天通苑名品折扣店,116.414305,40.066695,121
584,西单园美家具大商场,116.431215,39.80426,128
585,西单大悦城,116.373528,39.910649,201
586,西单明珠商场,116.375909,39.910393,201
587,西单明珠市场,116.3761821,39.9106779,201
588,西单觅食森林,116.373208,39.913345,201
589,西单购物中心,116.3742064,39.9112149,201
590,西宏苑商场,116.3803386,39.8000731,293
592,西点mall(中鼎大厦店),116.340566,39.967001,208
593,西直河商业中心,116.527509,39.844175,302
595,西门怡佳地下商场,116.643683,39.908139,120
596,西马庄商场,116.568326,39.873203,241
597,诺德商街,116.300812,39.826912,290
598,财富购物中心,116.570353,39.803324,84
599,贵友大厦(通州店),116.288274,39.958631,273
600,赋霖商厦,116.331514,39.851895,290
